Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or Marine,Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Trophic level predator,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Trophic level prey,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Mass code,Prey mass (mg),Prey mass source code,Prey mass regression code,Units of a,Data set,Number of bootstraps,Mean R2 of fits,AIC,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1
32,DeBlois and Leggett 1991 MAR ECOL PROG SER,Predator,3.00,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Calliopius laeviusculus,Adult?,,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Egg,,Raw data,N,24,7.5,,,,1.00E+03,1.09E+01,Alternate species length,1,,,,m^3 per pred per day,32,200,0.60,117.89,2.26E-06,1.36E-06,3.62E-06,2.87E-02,2.05E-02,4.06E-02,
33,DeBlois and Leggett 1991 MAR ECOL PROG SER,Predator,3.00,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Calliopius laeviusculus,Adult?,,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Egg,,Raw data,N,24,7.5,,,,1.00E+03,1.09E+01,Alternate species length,1,,,,m^3 per pred per day,33,200,0.84,24.65,8.00E-07,5.75E-07,1.00E-06,7.01E-02,5.43E-02,8.05E-02,
34,Thompson 1978 J ANIM ECOL,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,2.0,Mean,N,48,5.0,,1,,7.50E+01,5.47E+01,Average species mass,8,5.92E-01,Average genus mass,8,m^3 per pred per day,34,200,0.06,27.49,8.98E-05,3.49E-05,3.48E-04,2.87E-01,2.17E-01,3.78E-01,
35,Thompson 1978 J ANIM ECOL,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,2.0,Mean,N,48,8.0,,1,,7.50E+01,5.47E+01,Average species mass,8,5.92E-01,Average genus mass,8,m^3 per pred per day,35,200,0.80,37.78,5.09E-05,3.99E-05,6.44E-05,5.39E-02,4.32E-02,6.57E-02,
36,Thompson 1978 J ANIM ECOL,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,2.0,Mean,N,48,12.0,,1,,7.50E+01,5.47E+01,Average species mass,8,5.92E-01,Average genus mass,8,m^3 per pred per day,36,200,0.71,67.68,8.14E-05,6.06E-05,1.09E-04,4.47E-02,3.41E-02,5.44E-02,
37,Thompson 1978 J ANIM ECOL,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,2.0,Mean,N,48,16.0,,1,,7.50E+01,5.47E+01,Average species mass,8,5.92E-01,Average genus mass,8,m^3 per pred per day,37,200,0.82,83.87,1.28E-04,1.12E-04,1.45E-04,2.36E-02,2.18E-02,2.58E-02,
38,Thompson 1978 J ANIM ECOL,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,2.0,Mean,N,48,20.0,,1,,7.50E+01,5.47E+01,Average species mass,8,5.92E-01,Average genus mass,8,m^3 per pred per day,38,200,0.74,72.57,1.46E-04,1.25E-04,1.72E-04,2.64E-02,2.41E-02,2.84E-02,
39,Thompson 1978 J ANIM ECOL,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,2.0,Mean,N,48,27.0,,1,,7.50E+01,5.47E+01,Average species mass,8,5.92E-01,Average genus mass,8,m^3 per pred per day,39,200,0.81,71.85,1.30E-04,1.11E-04,1.54E-04,2.20E-02,1.99E-02,2.43E-02,
40,Zhang et al 2012 EUR J ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius similis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Spider mite,Tetranychus cinnabarinus,3rd or 4th instar,2.0,Mean,N,24,25.0,,1,6.36E+01,,4.93E+01,Average genus mass,1,,,,m^2 per pred per day,40,200,0.51,206.83,7.37E-03,5.51E-03,1.01E-02,2.94E-02,1.73E-02,4.07E-02,
41,Zhang et al 2012 EUR J ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius similis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Spider mite,Tetranychus cinnabarinus,3rd or 4th instar,2.0,Mean,N,24,28.0,,1,6.36E+01,,4.93E+01,Average genus mass,1,,,,m^2 per pred per day,41,200,0.69,206.50,7.45E-03,5.92E-03,9.17E-03,1.61E-02,9.20E-03,2.23E-02,
42,Zhang et al 2012 EUR J ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius similis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Spider mite,Tetranychus cinnabarinus,3rd or 4th instar,2.0,Mean,N,24,31.0,,1,6.36E+01,,4.93E+01,Average genus mass,1,,,,m^2 per pred per day,42,200,0.65,212.54,7.40E-03,5.40E-03,9.59E-03,1.75E-02,8.07E-03,2.57E-02,
43,Tellez et al 2009 EUR J ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Diptera,Coenosia attenuata,Adult female,3.0,Metazoan,Invertebrate,Insect,Diptera,Sciarid fly,Bradysia sp.,Adult,2.0,Mean,N,24,25.0,,1,5.03E+01,,1.57E+00,Alternate genus length,2,1.30E+00,Original length,1,m^2 per pred per day,43,200,0.24,143.67,5.11E-03,4.23E-03,6.23E-03,9.15E-02,8.32E-02,1.02E-01,
44,Tellez et al 2009 EUR J ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Diptera,Coenosia attenuata,Adult female,3.0,Metazoan,Invertebrate,Insect,Diptera,American serptentine leafminer,Liriomyza trifolii,Adult,2.0,Mean,N,24,25.0,,1,5.03E+01,,1.57E+00,Alternate genus length,2,5.39E-01,Original length,1,m^2 per pred per day,44,200,0.01,183.12,2.36E-02,1.75E-02,3.87E-02,1.60E-01,1.49E-01,1.69E-01,
45,Tellez et al 2009 EUR J ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Diptera,Coenosia attenuata,Adult female,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Tobacco whitefly,Bemisia tabaci,Adult,2.0,Mean,N,24,25.0,,1,5.03E+01,,1.57E+00,Alternate genus length,2,2.79E-02,Alternate species length,2,m^2 per pred per day,45,200,0.54,293.90,2.62E-03,2.35E-03,2.96E-03,2.36E-02,1.80E-02,3.19E-02,
46,Sahayaraj et al 2015 EUR J ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Rhynocoris kumarii,1st instar,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,3rd instar,2.0,Mean,N,12,28.0,,1,1.60E+01,,2.21E+00,% adult mass,3,1.37E-01,Alternate species length,2,m^2 per pred per day,46,200,0.02,-19.83,3.22E-03,5.92E-04,5.06E-02,1.02E+00,5.60E-01,1.42E+00,
47,Sahayaraj et al 2015 EUR J ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Rhynocoris kumarii,2nd instar,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,3rd instar,2.0,Mean,N,12,28.0,,1,1.60E+01,,7.32E+01,% adult mass,4,1.37E-01,Alternate species length,2,m^2 per pred per day,47,200,0.04,55.37,5.14E-03,1.09E-03,5.94E-02,4.68E-01,2.47E-01,6.70E-01,
48,Sahayaraj et al 2015 EUR J ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Rhynocoris kumarii,3rd instar,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,3rd instar,2.0,Mean,N,12,28.0,,1,1.60E+01,,9.31E+01,% adult mass,5,1.37E-01,Alternate species length,2,m^2 per pred per day,48,200,0.33,90.13,1.28E-03,8.25E-04,2.77E-03,7.35E-02,2.57E-08,1.82E-01,
49,Sahayaraj et al 2015 EUR J ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Rhynocoris kumarii,4th instar,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,3rd instar,2.0,Mean,N,12,28.0,,1,1.60E+01,,3.28E+02,% adult mass,6,1.37E-01,Alternate species length,2,m^2 per pred per day,49,200,0.23,61.73,2.21E-03,9.08E-04,4.47E-03,2.09E-01,8.69E-02,3.00E-01,
50,Sahayaraj et al 2015 EUR J ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Rhynocoris kumarii,5th instar,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,3rd instar,2.0,Mean,N,12,28.0,,1,1.60E+01,,,,,1.37E-01,Alternate species length,2,m^2 per pred per day,50,200,0.24,104.14,1.00E-03,7.06E-04,3.32E-03,1.91E-02,3.92E-09,2.48E-01,
