Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or Marine,Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Trophic level predator,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Trophic level prey,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Mass code,Prey mass (mg),Prey mass source code,Prey mass regression code,Units of a,Data set,Number of bootstraps,Mean R2 of fits,AIC,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1
2409,Reeve 1963 J EXP BIOL,Predator,3.00,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Branchiopoda,Artemia salina,,2.0,Unicell,Algae,Diatom,,,Phaeodactylum tricornutum,,1.0,Mean,N,,20.0,,,,,5.79E-01,Original species length,6,1.13E-07,Original species volume,1,m^3 per pred per day,2409,200,0.81,703.98,2.71E-04,2.33E-04,3.13E-04,7.08E-08,6.57E-08,7.59E-08,
2410,Reeve 1963 J EXP BIOL,Predator,3.00,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Branchiopoda,Artemia salina,,2.0,Unicell,Algae,Diatom,,,Phaeodactylum tricornutum,,1.0,Mean,N,,20.0,,,,,2.48E+00,Original species length,7,1.13E-07,Original species volume,1,m^3 per pred per day,2410,200,0.83,676.54,2.15E-04,1.74E-04,2.72E-04,1.09E-07,1.01E-07,1.19E-07,
2411,Reeve 1963 J EXP BIOL,Predator,3.00,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Branchiopoda,Artemia salina,,2.0,Unicell,Algae,Chlorophyte,,,Chlorella stigmatophora,,1.0,Mean,N,,20.0,,,,,2.48E+00,Original species length,7,3.10E-08,Original species volume,1,m^3 per pred per day,2411,200,0.91,1019.27,2.08E-04,1.79E-04,2.46E-04,2.36E-08,2.18E-08,2.60E-08,
2412,Reeve 1963 J EXP BIOL,Predator,3.00,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Branchiopoda,Artemia salina,,2.0,Unicell,Algae,Chlorophyte,,,Dunaliella tertiolecta,,1.0,Mean,N,,20.0,,,,,2.48E+00,Original species length,7,3.45E-07,Original species volume,1,m^3 per pred per day,2412,200,0.84,628.56,3.62E-04,2.71E-04,4.62E-04,2.86E-07,2.59E-07,3.13E-07,
2413,Pervez et al 2019 IND J ECOL,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Hippodamia variegata,Adult male,3.0,Metazoan,Invertebrate,Insect,Hemiptera,,Aphis craccivora,,2.0,Mean,N,12,25.0,,1,5.67E+01,6.24E+02,1.18E+01,Alternate species mass,1,2.18E-01,Alternate species mass,7,m^2.5 per pred per day,2413,200,0.86,513.51,2.23E-02,1.91E-02,2.62E-02,1.97E-03,1.53E-03,2.36E-03,
2414,Pervez et al 2019 IND J ECOL,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Hippodamia variegata,Adult female,3.0,Metazoan,Invertebrate,Insect,Hemiptera,,Aphis craccivora,,2.0,Mean,N,12,25.0,,1,5.67E+01,6.24E+02,1.18E+01,Alternate species mass,1,2.18E-01,Alternate species mass,7,m^2.5 per pred per day,2414,200,0.88,506.20,2.31E-02,2.01E-02,2.71E-02,1.88E-03,1.58E-03,2.24E-03,
2415,Fedorenko 1975 LIMM OCEAN,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Diptera,Chaoborus trivittatus,T2,,Metazoan,Invertebrate,Crustacean,Copepod,,Diaptomus tyrelli,Adult,,Mean,N,,22,,1,,,7.85E+00,Alternate species mass,1,2.68E-01,Average genus mass,1,m^3 per pred per day,2415,200,0.20,50.88,7.22E-04,6.02E-05,2.86E-03,2.46E-01,4.53E-08,4.95E-01,
2416,Fedorenko 1975 LIMM OCEAN,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Diptera,Chaoborus trivittatus,T2,,Metazoan,Invertebrate,Crustacean,Copepod,,Diaptomus tyrelli,Adult,,Mean,N,,17,,1,,,7.85E+00,Alternate species mass,1,2.68E-01,Average genus mass,1,m^3 per pred per day,2416,200,0.11,27.13,1.22E-03,7.88E-05,1.76E-02,4.01E-01,8.46E-02,8.73E-01,
2417,Fedorenko 1975 LIMM OCEAN,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Diptera,Chaoborus trivittatus,T2,,Metazoan,Invertebrate,Crustacean,Copepod,,Diaptomus tyrelli,Adult,,Mean,N,,11,,1,,,7.85E+00,Alternate species mass,1,2.68E-01,Average genus mass,1,m^3 per pred per day,2417,200,0.09,12.76,2.97E-04,1.72E-05,4.17E-03,6.42E-01,1.80E-06,1.28E+00,
2418,Fedorenko 1975 LIMM OCEAN,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Diptera,Chaoborus trivittatus,T3,,Metazoan,Invertebrate,Crustacean,Copepod,,Diaptomus tyrelli,Adult,,Mean,N,,12,,1,,,7.85E+00,Alternate species mass,1,2.68E-01,Average genus mass,1,m^3 per pred per day,2418,200,0.11,103.59,3.33E-03,1.66E-04,1.70E-02,8.74E-02,8.36E-08,1.62E-01,
2419,Fedorenko 1975 LIMM OCEAN,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Diptera,Chaoborus trivittatus,T3,,Metazoan,Invertebrate,Crustacean,Copepod,,Diaptomus tyrelli,Adult,,Mean,N,,7,,1,,,7.85E+00,Alternate species mass,1,2.68E-01,Average genus mass,1,m^3 per pred per day,2419,200,0.27,149.00,4.03E-04,1.88E-04,2.60E-03,1.12E-02,6.85E-10,5.64E-02,
2420,Fedorenko 1975 LIMM OCEAN,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Diptera,Chaoborus trivittatus,T3,,Metazoan,Invertebrate,Crustacean,Copepod,,Diaptomus tyrelli,Adult,,Mean,N,,13,,1,,,7.85E+00,Alternate species mass,1,2.68E-01,Average genus mass,1,m^3 per pred per day,2420,200,0.19,182.72,8.72E-04,2.64E-04,2.87E-03,2.73E-02,4.16E-04,5.44E-02,
2421,Fedorenko 1975 LIMM OCEAN,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Diptera,Chaoborus americanus,A4,,Metazoan,Invertebrate,Crustacean,Copepod,,Diaptomus tyrelli,Adult,,Mean,N,,19,,1,,,3.38E+01,Alternate species length,4,2.68E-01,Average genus mass,1,m^3 per pred per day,2421,200,0.14,155.04,1.92E-03,2.26E-04,7.63E-03,2.78E-02,7.91E-08,5.16E-02,
2422,Fedorenko 1975 LIMM OCEAN,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Diptera,Chaoborus americanus,A4,,Metazoan,Invertebrate,Crustacean,Copepod,,Diaptomus tyrelli,Adult,,Mean,N,,13,,1,,,3.38E+01,Alternate species length,4,2.68E-01,Average genus mass,1,m^3 per pred per day,2422,200,0.22,150.10,9.80E-04,2.36E-04,2.59E-03,2.50E-02,1.71E-08,6.36E-02,
2423,Fedorenko 1975 LIMM OCEAN,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Diptera,Chaoborus americanus,A4,,Metazoan,Invertebrate,Crustacean,Copepod,,Diaptomus tyrelli,Adult,,Mean,N,,7,,1,,,3.38E+01,Alternate species length,4,2.68E-01,Average genus mass,1,m^3 per pred per day,2423,200,0.19,136.72,4.42E-04,1.14E-04,3.20E-03,2.90E-02,1.32E-09,9.20E-02,
2424,Fedorenko 1975 LIMM OCEAN,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Diptera,Chaoborus trivittatus,T3,,Metazoan,Invertebrate,Crustacean,Copepod,,Diaptomus kenai,Adult,,Mean,N,,13,,1,,,7.85E+00,Alternate species mass,1,2.68E-01,Average genus mass,1,m^3 per pred per day,2424,200,0.04,68.40,5.40E-03,8.83E-04,6.52E-02,3.43E-01,1.67E-01,5.81E-01,
2425,Fedorenko 1975 LIMM OCEAN,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Diptera,Chaoborus trivittatus,T4y,,Metazoan,Invertebrate,Crustacean,Copepod,,Diaptomus kenai,Adult,,Mean,N,,13,,1,,,7.85E+00,Alternate species mass,1,2.68E-01,Average genus mass,1,m^3 per pred per day,2425,200,0.14,120.40,1.74E-03,7.23E-04,5.42E-02,5.81E-02,2.41E-09,3.49E-01,
2426,Fedorenko 1975 LIMM OCEAN,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Diptera,Chaoborus trivittatus,T4o,,Metazoan,Invertebrate,Crustacean,Copepod,,Diaptomus kenai,Adult,,Mean,N,,13,,1,,,7.85E+00,Alternate species mass,1,2.68E-01,Average genus mass,1,m^3 per pred per day,2426,200,0.12,99.59,8.37E-03,1.28E-03,2.49E-02,1.09E-01,4.22E-04,2.70E-01,
2427,Fedorenko 1975 LIMM OCEAN,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Diptera,Chaoborus trivittatus,T4o,,Metazoan,Invertebrate,Crustacean,Copepod,,Diaptomus kenai,Adult,,Mean,N,,14,,1,,,7.85E+00,Alternate species mass,1,2.68E-01,Average genus mass,1,m^3 per pred per day,2427,200,0.08,56.49,2.41E-02,4.46E-03,2.21E-01,2.57E-01,1.32E-01,4.73E-01,
2428,Fedorenko 1975 LIMM OCEAN,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Diptera,Chaoborus americanus,A4,,Metazoan,Invertebrate,Crustacean,Copepod,,Diaptomus kenai,Adult,,Mean,N,,13,,1,,,3.38E+01,Alternate species length,4,2.68E-01,Average genus mass,1,m^3 per pred per day,2428,200,0.09,68.50,6.12E-03,5.56E-04,6.25E-02,1.94E-01,4.06E-03,3.76E-01,
2429,Fedorenko 1975 LIMM OCEAN,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Diptera,Chaoborus trivittatus,T3,,Metazoan,Invertebrate,Crustacean,Copepod,,Diaphanosoma,,,Mean,N,,19,,1,,,7.85E+00,Alternate species mass,1,1.16E-01,Alternate genus mass,1,m^3 per pred per day,2429,200,0.33,147.70,7.66E-04,3.07E-04,4.19E-03,1.65E-02,1.63E-09,4.99E-02,
2430,Fedorenko 1975 LIMM OCEAN,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Diptera,Chaoborus americanus,A2,,Metazoan,Invertebrate,Crustacean,Copepod,,Copepod nauplii,,,Mean,N,,23,,1,,,2.70E+01,Alternate species length,5,4.50E-03,Average group mass,1,m^3 per pred per day,2430,200,0.38,134.70,1.48E-04,9.90E-05,3.38E-04,1.42E-08,7.60E-10,8.21E-02,
2431,Hossie and Murray 2016 ECOL,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Anax junius,,3.0,Metazoan,Vertebrate,Amphibian,Anura,,Lithobates clamitans,,2.0,Raw data,N,12,,Y,1,,1.29E+04,3.13E+03,Average species mass,4,1.50E+01,Original species mass,1,m^3 per pred per day,2431,200,0.53,88.84,9.03E-02,3.98E-02,1.68E-01,7.48E-03,3.63E-10,1.21E-02,
2432,Hossie and Murray 2016 ECOL,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Anax junius,,3.0,Metazoan,Vertebrate,Amphibian,Anura,,Lithobates clamitans,,2.0,Raw data,N,12,,Y,3,,1.29E+04,3.13E+03,Average species mass,4,1.50E+01,Original species mass,1,m^3 per pred per day,2432,200,0.82,65.13,2.60E-02,1.88E-02,3.86E-02,7.28E-03,4.55E-10,1.53E-02,
2433,Hossie and Murray 2016 ECOL,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Anax junius,,3.0,Metazoan,Vertebrate,Amphibian,Anura,,Lithobates clamitans,,2.0,Raw data,N,12,,Y,6,,1.29E+04,3.13E+03,Average species mass,4,1.50E+01,Original species mass,1,m^3 per pred per day,2433,200,0.86,61.46,1.21E-02,9.40E-03,1.53E-02,3.62E-10,7.39E-11,1.52E-02,
2434,Hossie and Murray 2016 ECOL,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Anax junius,,3.0,Metazoan,Vertebrate,Amphibian,Anura,,Lithobates clamitans,,2.0,Raw data,N,12,,Y,1,,1.29E+04,3.13E+03,Average species mass,4,1.50E+01,Original species mass,1,m^3 per pred per day,2434,200,0.78,77.42,8.36E-02,4.67E-02,1.41E-01,6.27E-03,1.36E-09,7.71E-03,
2435,Hossie and Murray 2016 ECOL,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Anax junius,,3.0,Metazoan,Vertebrate,Amphibian,Anura,,Lithobates clamitans,,2.0,Raw data,N,12,,Y,3,,1.29E+04,3.13E+03,Average species mass,4,1.50E+01,Original species mass,1,m^3 per pred per day,2435,200,0.43,81.60,3.29E-02,1.64E-02,8.41E-02,1.21E-02,2.35E-10,4.03E-02,
2436,Hossie and Murray 2016 ECOL,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Anax junius,,3.0,Metazoan,Vertebrate,Amphibian,Anura,,Lithobates clamitans,,2.0,Raw data,N,12,,Y,6,,1.29E+04,3.13E+03,Average species mass,4,1.50E+01,Original species mass,1,m^3 per pred per day,2436,200,0.82,54.25,1.12E-02,8.01E-03,1.76E-02,5.82E-03,2.34E-10,2.41E-02,
2437,Lawton et al 1974 ECOL STAB,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia obtusa,,2.0,Mean,N,7,16.0,,1,,1.00E+02,5.47E+01,Average species mass,8,6.24E-03,Alternate species mass,1,m^3 per pred per day,2437,200,0.69,116.49,1.42E-04,9.16E-05,2.07E-04,2.01E-02,1.01E-02,2.76E-02,
2438,Lawton et al 1974 ECOL STAB,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,,,Metazoan,Invertebrate,Crustacean,Cladoceran,,Simocephalus vetulus,,,Mean,N,7,16.0,,1,,1.00E+02,5.47E+01,Average species mass,8,2.81E+00,Alternate species mass,1,m^3 per pred per day,2438,200,0.64,71.40,7.30E-05,4.72E-05,1.07E-04,4.92E-02,2.88E-02,7.28E-02,
2439,Lester and Harmsen 2002 J ANIM ECOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius fallacis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,,Panonychus ulmi,Eggs,2.0,Mean,N,,24.0,,1,1.13E+00,,,,,,,,m^2 per pred per day,2439,200,0.71,30.67,1.58E-04,9.25E-05,2.35E-04,8.03E-02,5.56E-02,1.09E-01,
2440,Lester and Harmsen 2002 J ANIM ECOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Typhlodromus pyri,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,,Panonychus ulmi,Eggs,2.0,Mean,N,,24.0,,1,1.13E+00,,1.41E-01,Average genus mass,5,,,,m^2 per pred per day,2440,200,0.74,12.61,5.25E-05,3.22E-05,7.17E-05,1.04E-01,5.90E-02,1.55E-01,
2441,Lester and Harmsen 2002 J ANIM ECOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius fallacis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,,Tetranychus urticae,Egg,2.0,Mean,N,,20.0,,1,4.00E+00,,6.13E-02,Alternate order mass,1,2.11E-03,Alternate species length,2,m^2 per pred per day,2441,200,0.61,22.21,1.74E-04,1.10E-04,2.62E-04,1.22E-01,9.02E-02,1.50E-01,
2442,Lester and Harmsen 2002 J ANIM ECOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Typhlodromus pyri,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,,Tetranychus urticae,Eggs,2.0,Mean,N,,24.0,,1,1.13E+00,,1.41E-01,Average genus mass,5,2.11E-03,Alternate species length,2,m^2 per pred per day,2442,200,0.85,42.49,6.20E-05,4.91E-05,9.64E-05,7.67E-03,4.15E-10,3.67E-02,
2443,Lester and Harmsen 2002 J ANIM ECOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius fallacis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,,Panonychus ulmi,Deutonymphs,2.0,Mean,N,,24.0,,1,1.13E+00,,,,,1.75E-02,Alternate species length,4,m^2 per pred per day,2443,200,0.70,11.53,7.80E-05,4.46E-05,1.18E-04,1.37E-01,8.27E-02,1.86E-01,
2444,Lester and Harmsen 2002 J ANIM ECOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Typhlodromus pyri,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,,Panonychus ulmi,Deutonymphs,2.0,Mean,N,,24.0,,1,1.13E+00,,1.41E-01,Average genus mass,5,1.75E-02,Alternate species length,4,m^2 per pred per day,2444,200,0.71,19.57,1.01E-04,6.01E-05,1.55E-04,1.11E-01,6.93E-02,1.48E-01,
2445,Lester and Harmsen 2002 J ANIM ECOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius fallacis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,,Tetranychus urticae,Deutonymphs,2.0,Mean,N,,24.0,,1,1.13E+00,,,,,,,,m^2 per pred per day,2445,200,0.72,16.62,9.15E-05,5.40E-05,1.38E-04,1.13E-01,7.40E-02,1.53E-01,
2446,Lester and Harmsen 2002 J ANIM ECOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Typhlodromus pyri,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,,Tetranychus urticae,Deutonymphs,2.0,Mean,N,,24.0,,1,1.13E+00,,1.41E-01,Average genus mass,5,,,,m^2 per pred per day,2446,200,0.61,14.35,1.31E-04,7.88E-05,2.00E-04,1.58E-01,1.24E-01,1.95E-01,
2447,Hossie et al 2021 SCI REP,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Anax sp,Nymph,3.0,Metazoan,Vertebrate,Amphibian,Anura,,Lithobates pipiens,,2.0,Raw data,N,12,,Y,1,,1.29E+04,1.50E+03,Average genus mass,1,2.90E+01,Original species mass,1,m^3 per pred per day,2447,200,0.46,75.49,1.26E-01,5.23E-02,1.24E+00,6.86E-04,3.65E-12,1.08E-02,
2448,Hossie et al 2021 SCI REP,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Anax sp,Nymph,3.0,Metazoan,Vertebrate,Amphibian,Anura,,Lithobates pipiens,,2.0,Raw data,N,12,,Y,3,,1.29E+04,1.50E+03,Average genus mass,1,2.90E+01,Original species mass,1,m^3 per pred per day,2448,200,0.92,62.45,2.43E-01,1.53E-01,5.04E-01,5.89E-04,1.41E-11,2.50E-03,
2449,Hossie et al 2021 SCI REP,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Anax sp,Nymph,3.0,Metazoan,Vertebrate,Amphibian,Anura,,Lithobates pipiens,,2.0,Raw data,N,12,,Y,6,,1.29E+04,1.50E+03,Average genus mass,1,2.90E+01,Original species mass,1,m^3 per pred per day,2449,200,0.98,57.32,3.19E-01,2.53E-01,4.33E-01,5.97E-04,3.20E-11,9.97E-04,
2450,Hossie et al 2021 SCI REP,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Anax sp,Nymph,3.0,Metazoan,Vertebrate,Amphibian,Anura,,Anaxyrus americanus,,2.0,Raw data,N,12,,Y,1,,1.29E+04,1.50E+03,Average genus mass,1,2.20E+01,Original species mass,1,m^3 per pred per day,2450,200,0.66,60.19,1.12E-01,5.06E-02,4.88E-01,2.49E-03,7.95E-12,7.41E-03,
2451,Hossie et al 2021 SCI REP,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Anax sp,Nymph,3.0,Metazoan,Vertebrate,Amphibian,Anura,,Anaxyrus americanus,,2.0,Raw data,N,12,,Y,3,,1.29E+04,1.50E+03,Average genus mass,1,2.20E+01,Original species mass,1,m^3 per pred per day,2451,200,0.54,69.90,8.47E-01,3.96E-01,2.69E+00,2.68E-03,8.24E-04,4.29E-03,
2452,Hossie et al 2021 SCI REP,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Anax sp,Nymph,3.0,Metazoan,Vertebrate,Amphibian,Anura,,Anaxyrus americanus,,2.0,Raw data,N,12,,Y,6,,1.29E+04,1.50E+03,Average genus mass,1,2.20E+01,Original species mass,1,m^3 per pred per day,2452,200,0.72,76.40,4.32E-01,2.77E-01,1.00E+00,7.71E-04,3.99E-12,1.93E-03,
2453,Ok et al 2018 HARM ALG,Predator,3.00,,Aquatic,Marine,Metazoan,Vertebrate,,,Katablepharis remigera,,2.0,Unicell,Protozoan,Dinoflagellate,,,Heterosigma akashiwo,,1.0,Mean,N,,20.0,,,,5.00E+01,2.99E-04,Original species mass,1,7.94E-07,Original species mass,1,m^3 per pred per day,2453,200,0.61,-1.09,2.95E-09,1.24E-09,4.87E-09,2.91E-01,2.54E-01,3.33E-01,
2454,Ok et al 2018 HARM ALG,Predator,3.00,,Aquatic,Marine,Metazoan,Vertebrate,,,Katablepharis remigera,,2.0,Unicell,Protozoan,Dinoflagellate,,,Chattonella subsalsa,,1.0,Mean,N,,20.0,,,,5.00E+01,2.99E-04,Original species mass,1,3.76E-02,Original species mass,1,m^3 per pred per day,2454,200,0.18,-105.36,4.10E-11,3.33E-11,9.93E-10,4.86E-02,1.47E-02,4.11E+00,
2455,Tsang and Dudgeon 2021 BIOL INV,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cyprinodontiformes,Puntius semifasciolatus,,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia sinensis,,2.0,Raw data,N,24,23.0,,1,,8.00E+03,2.87E+02,Original species length,1,2.96E-01,Original species length,1,m^3 per pred per day,2455,200,0.63,314.69,1.05E-01,5.38E-02,2.58E-01,2.48E-04,8.02E-05,4.88E-04,Native
2456,Tsang and Dudgeon 2021 BIOL INV,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Beloniformes,Oryzias curvinotus,,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia sinensis,,2.0,Raw data,N,24,23.0,,1,,8.00E+03,1.42E+02,Original species length,1,2.96E-01,Original species length,1,m^3 per pred per day,2456,200,0.65,329.97,2.04E-01,1.35E-01,3.00E-01,2.39E-04,1.40E-04,3.42E-04,Native
2457,Tsang and Dudgeon 2021 BIOL INV,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cyprinodontiformes,Parazacco spilurus,,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia sinensis,,2.0,Raw data,N,24,23.0,,1,,8.00E+03,2.09E+02,Original species length,1,2.96E-01,Original species length,1,m^3 per pred per day,2457,200,0.82,297.30,3.56E-01,2.82E-01,4.65E-01,3.03E-04,2.50E-04,3.28E-04,Native
2458,Tsang and Dudgeon 2021 BIOL INV,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cyprinodontiformes,Gambusia affinis,,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia sinensis,,2.0,Raw data,N,24,23.0,,1,,8.00E+03,2.14E+02,Original species length,2,2.96E-01,Original species length,1,m^3 per pred per day,2458,200,0.80,312.11,1.75E-01,1.25E-01,2.68E-01,2.18E-04,1.63E-04,2.98E-04,Invader
2459,Tsang and Dudgeon 2021 BIOL INV,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cyprinodontiformes,"Poecilia 
reticulata",,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia sinensis,,2.0,Raw data,N,24,23.0,,1,,8.00E+03,1.78E+02,Original species length,1,2.96E-01,Original species length,1,m^3 per pred per day,2459,200,0.50,357.91,2.19E-01,1.01E-01,3.97E-01,1.82E-04,3.02E-05,3.32E-04,Invader
2460,Tsang and Dudgeon 2021 BIOL INV,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cyprinodontiformes,Poecilia salvatoris,,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia sinensis,,2.0,Raw data,N,24,23.0,,1,,8.00E+03,2.29E+02,Original species length,1,2.96E-01,Original species length,1,m^3 per pred per day,2460,200,0.81,339.05,3.66E-01,2.87E-01,4.57E-01,1.43E-04,1.12E-04,1.68E-04,Invader
2461,Tsang and Dudgeon 2021 BIOL INV,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cyprinodontiformes,Xiphophorus hellerii,,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia sinensis,,2.0,Raw data,N,24,23.0,,1,,8.00E+03,2.66E+02,Original species length,3,2.96E-01,Original species length,1,m^3 per pred per day,2461,200,0.79,347.94,3.00E-01,2.29E-01,4.45E-01,9.38E-05,4.77E-05,1.57E-04,Invader
2462,McCard et al 2021 BIOL INV,Predator,3.00,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Scorpaeniformes,Pterois volitans,Juvenile,,Metazoan,Invertebrate,Crustacean,Branchiopod,,Artemia salina,,,Raw data,N,0,25.0,,1,,4.50E+04,5.66E+03,Original species length,1,9.10E-01,Original species length,2,m^3 per pred per day,2462,200,0.98,676.92,6.24E-01,5.76E-01,6.65E-01,1.14E-03,9.55E-04,1.26E-03,
2463,McCard et al 2021 BIOL INV,Predator,3.00,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Scorpaeniformes,Pterois volitans,Juvenile,,Metazoan,Invertebrate,Crustacean,Amphipod,,Gammarus oceanicus,,,Raw data,N,0,25.0,,1,,4.50E+04,5.66E+03,Original species length,1,9.89E+00,Original species length,1,m^3 per pred per day,2463,200,0.94,670.52,7.92E-01,7.18E-01,8.85E-01,3.01E-03,2.83E-03,3.15E-03,
2464,McCard et al 2021 BIOL INV,Predator,3.00,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Scorpaeniformes,Pterois volitans,Juvenile,,Metazoan,Invertebrate,Crustacean,Branchiopod,,Palaemonetes varians,,,Raw data,N,0,25.0,,1,,4.50E+04,5.66E+03,Original species length,1,2.98E+00,Original species length,1,m^3 per pred per day,2464,200,0.96,671.85,7.96E-01,7.30E-01,8.71E-01,2.55E-03,2.40E-03,2.67E-03,
2465,Mistri 2003 EST COAST SHELF SCI,Predator,2.00,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Decapod,Carcinus aestuarii,,,Metazoan,Invertebrate,Mollusk,,,Musculista senhousia,,,Mean,N,48,,Y,1,6.08E+03,,6.42E+04,Original species length,1,1.10E+03,Original length,2,m^2 per pred per day,2465,200,0.60,50.99,9.18E-01,3.86E-01,2.06E+00,2.45E-02,1.79E-02,3.37E-02,
